,SMB,HML,RMW,CMA,MOM,EW
1990-01-31,0.0,0.006500000000000001,-0.0,-0.0060999999999999995,-0.0,8.000000000000021e-05
1990-02-28,0.0,-0.028999999999999998,0.0199,-0.009399999999999999,0.0173,-0.00023999999999999925
1990-03-31,-0.0,-0.025699999999999997,0.0,-0.01,0.0,-0.007139999999999999
1990-04-30,-0.0241,-0.0,0.0,-0.0,0.0311,0.0013999999999999998
1990-05-31,0.0131,-0.0,-0.0,-0.0,0.025099999999999997,0.007639999999999999
1990-06-30,-0.0315,-0.0,-0.0,0.0,0.0604,0.00578
1990-07-31,-0.0379,0.015600000000000001,-0.0048,0.029900000000000003,0.0196,0.0044800000000000005
1990-08-31,-0.0,0.0059,0.0003,0.0,0.0,0.00124
1990-09-30,-0.0506,0.0008,0.0,-0.0025,0.06709999999999999,0.0029599999999999987
1990-10-31,0.0002,-0.0,0.0058,-0.0,-0.0,0.0012
1990-11-30,0.006,-0.0,0.0,-0.0,0.0022,0.0016400000000000002
1990-12-31,0.0387,-0.0148,0.0,-0.0,-0.0645,-0.00812
1991-01-31,0.0,-0.0,-0.0006,-0.0,-0.049,-0.009920000000000002
1991-02-28,0.0381,-0.013000000000000001,-0.0,-0.009899999999999999,0.0,0.00304
1991-03-31,0.0,0.0,0.0067,0.0,-0.0233,-0.00332
1991-04-30,0.0,-0.0,0.0207,-0.0,-0.0,0.00414
1991-05-31,0.0,0.0,0.0175,0.0,0.0,0.0035000000000000005
1991-06-30,-0.01,-0.0,0.0,-0.0,0.0,-0.002
1991-07-31,0.014199999999999999,-0.0,0.0085,-0.0,0.0158,0.0077
1991-08-31,0.0158,-0.0,-0.0177,-0.0,0.0173,0.0030800000000000003
1991-09-30,0.0,-0.0,-0.0165,-0.0,0.0,-0.0033
1991-10-31,-0.0088,-0.0,0.0,-0.0,0.0118,0.0005999999999999998
1991-11-30,-0.0,-0.0,0.036699999999999997,-0.0,0.0827,0.02388
1991-12-31,0.0,0.0,-0.011699999999999999,0.0325,-0.025099999999999997,-0.000859999999999999
1992-01-31,0.013000000000000001,0.0,0.0,0.0225,-0.0069,0.005720000000000001
1992-02-29,-0.0089,0.0349,-0.0,0.0182,-0.0023,0.008380000000000002
1992-03-31,-0.0,0.0,0.0,0.0,-0.025099999999999997,-0.005019999999999999
1992-04-30,0.002,0.0,-0.0091,0.0,0.0007000000000000001,-0.00128
1992-05-31,-0.0276,0.0,-0.0006,0.0,-0.005699999999999999,-0.00678
1992-06-30,-0.006500000000000001,-0.0,0.0124,-0.0,0.015300000000000001,0.00424
