,SMB_std,HML_std,RMW_std,CMA_std,MOM_std
1990-01-31,0.06596659,0.09558348,0.05642455,0.11256652,0.079219416
1990-02-28,0.04238771,0.08997463,0.01931876,0.0684826,0.08200798
1990-03-31,0.13245365,0.05875686,0.04557706,0.11358714,0.080466345
1990-04-30,0.106560715,0.03915706,0.04946779,0.08378327,0.068543166
1990-05-31,0.10273588,0.06001267,0.02815401,0.07797563,0.05956146
1990-06-30,0.11671197,0.036731537,0.05611957,0.08332717,0.07651678
1990-07-31,0.01619853,0.07945658,0.014122172,0.04766272,0.023590475
1990-08-31,0.009495313,0.055064563,0.007803209,0.035718083,0.024977408
1990-09-30,0.06525147,0.08829925,0.045803305,0.09608839,0.09941525
1990-10-31,0.07389153,0.06635233,0.035755195,0.067037165,0.05772034
1990-11-30,0.12846313,0.13299038,0.080582224,0.18116352,0.09224953
1990-12-31,0.1403806,0.06524956,0.080211416,0.131735,0.09402963
1991-01-31,0.09064205,0.04937375,0.1135779,0.065486,0.083208635
1991-02-28,0.12606148,0.07071724,0.16875665,0.105669186,0.100350626
1991-03-31,0.102791324,0.063560285,0.11149625,0.11183091,0.09594646
1991-04-30,0.09146254,0.051498003,0.13049513,0.09126578,0.109791726
1991-05-31,0.044201642,0.04337034,0.07895836,0.0135275945,0.051525787
1991-06-30,0.023434386,0.03435642,0.04753482,0.0048307003,0.031918917
1991-07-31,0.09048363,0.04993583,0.10779891,0.101881176,0.08591456
1991-08-31,0.05868665,0.03826546,0.09418425,0.027380977,0.06998027
1991-09-30,0.06869506,0.042880014,0.09416749,0.07367988,0.06376063
1991-10-31,0.07825992,0.052019145,0.08274125,0.054642092,0.071990274
1991-11-30,0.021531971,0.048245173,0.070169084,0.006170022,0.03990071
1991-12-31,0.1012192,0.06538677,0.13259445,0.10217417,0.077316396
1992-01-31,0.04878084,0.06025927,0.07386784,0.03493447,0.09290178
1992-02-29,0.036892492,0.029242842,0.065111965,0.017989056,0.06984252
1992-03-31,0.010076132,0.02068659,0.019238468,0.005513032,0.029445365
1992-04-30,0.022531433,0.038748592,0.028273802,0.017653229,0.045299746
1992-05-31,0.026444271,0.031839818,0.042098943,0.016570508,0.074436724
